Country or Territory,Population,2014 Peak Pubs.,Ratio 1 Publisher to,2014 Av. Pubs.,% Inc. Over 2013,2013 Av. Pubs.,2014 No. Bptzd.,Av. Aux. Pio. Pubs.,Av. Pio. Pubs.,No. of Congs.,Total Hours,Av. Bible Studies,Memorial Attendance
Senegal,13508715,1204,11220,1150,1,1150,42,83,148,26,328746,2010,2606
Serbia,8118146,3892,2086,3857,,3857,73,303,609,61,1057663,2273,7939
Seychelles,91359,343,266,331,,331,10,24,33,4,81926,414,935
Sierra Leone,6092000,2055,2964,1937,3,1789,359,1158,1231,186,2739646,8457,26909
Slovakia,5417750,11367,477,11105,,11105,291,567,819,142,1861585,4135,21623
Slovenia,2054000,1943,1057,1930,-1,1930,50,121,232,30,447571,1064,2942
Solomon Islands,609883,1974,309,1787,3,1787,127,72,265,51,409908,2316,9807
South Africa,53140000,98775,538,95369,4,95369,3779,4830,11164,2108,21975559,140789,250754
South Sudan,10727600,1271,8440,1201,,1201,139,71,164,33,310442,3132,4682
Spain,46182000,112493,411,108900,1,108254,2440,12479,13641,1545,28280045,58728,195673
Sri Lanka,20480000,5833,3511,5615,5,5359,415,480,737,100,1295798,8131,14195
Sudan,26507000,574,46179,515,13,515,54,47,87,16,181266,1583,2308
Suriname,540000,2836,190,2765,5,2765,132,261,287,55,671767,5218,9889
Swaziland,1268000,3246,391,2983,2,2983,58,122,265,92,640177,4403,8841
Sweden,9705005,22730,427,22156,1,22156,594,994,2203,315,3837623,10394,35366
Switzerland,8139631,19106,426,18323,2,18323,347,861,1046,270,2978799,9285,31755
Tahiti,268207,3071,87,2990,4,2990,167,237,456,44,831361,4335,8822
Taiwan,23404243,9485,2468,9256,5,9256,387,858,3123,142,3949344,14631,19261
Tanzania,49483000,16279,3040,15761,4,15137,819,834,1833,472,3910484,30039,55183
Thailand,67741000,4166,16260,4022,8,3737,150,353,1325,97,1606758,6240,8123
Timor-Leste,1202107,271,4436,242,17,242,19,20,61,4,92868,520,905
Tinian,3136,16,196,15,15,15,1,3,1,4683,30,36
Togo,7020000,19355,363,18158,5,17348,797,1701,1708,269,4955686,56659,65503
Tonga,105502,246,429,216,-3,216,8,13,31,3,51553,299,628
"Trinidad & Tobago",1334824,9737,137,9503,2,9503,260,662,1216,122,2092005,11331,24103
Turkey,75600000,2465,30669,2408,5,2408,79,189,399,31,704250,1705,4546
Turks and Caicos,33700,340,101,323,3,323,12,21,59,6,98477,686,1060
Tuvalu,10016,76,132,60,13,60,1,1,1,7900,72,247
Uganda,37579000,6737,5578,6468,6,6468,363,489,1046,142,2159573,19559,23157
Ukraine,44770717,150906,297,149787,,149787,3922,10135,20509,1708,37907954,86994,262321
United States of America,322583000,1243387,259,1186598,2,1167723,36064,89336,160273,13871,274164941,721884,2505825
Uruguay,3304000,11791,280,11471,,11464,291,992,880,156,2204238,9175,23531
Vanuatu,264938,587,451,525,1,525,34,22,82,12,138329,1370,3720
Venezuela,30206307,140226,215,134913,4,129284,7261,13788,26115,1709,41045125,196232,467390
"Virgin Islands, British",28600,268,107,260,-2,260,15,32,4,59617,251,825
"Virgin Islands, U.S.",106800,668,160,602,2,602,22,36,85,10,147276,591,1743
"Wallis & Futuna Islands",13936,55,253,46,-6,46,3,2,5,1,10158,72,174
Yap,11376,32,356,28,4,28,1,2,8,1,11292,110,136
Zambia,14638640,178481,82,168693,5,160211,5299,7181,13126,2698,34221669,362651,790528
Zimbabwe,13323770,43130,309,41688,4,36686,1836,3524,11933,764,15993016,61451,67963
"30 Other Lands",,39123,,33372,-3.2,33999,3341,3105,5019,1123,10531088,92569,110570
